Company,Ticker,Country
LATO B,LATO-B.ST,SWE
LEO,LEO.ST,SWE
LIAB,LIAB.ST,SWE
LIFCO B,LIFCO-B.ST,SWE
LIME,LIME.ST,SWE
LINC,LINC.ST,SWE
LOGI A,LOGI-A.ST,SWE
LOGI B,LOGI-B.ST,SWE
LOOMIS,LOOMIS.ST,SWE
LUC,LUC.ST,SWE
LUG,LUG.ST,SWE
LUMI,LUMI.ST,SWE
LUND B,LUND-B.ST,SWE
LUNE,LUNE.ST,SWE
MANG,MANG.ST,SWE
MCAP,MCAP.ST,SWE
MCOV B,MCOV-B.ST,SWE
MEKO,MEKO.ST,SWE
MIPS,MIPS.ST,SWE
MSON A,MSON-A.ST,SWE
MSON B,MSON-B.ST,SWE
MTG A,MTG-A.ST,SWE
MTG B,MTG-B.ST,SWE
MTRS,MTRS.ST,SWE
MYCR,MYCR.ST,SWE
NCAB,NCAB.ST,SWE
NCC A,NCC-A.ST,SWE
NCC B,NCC-B.ST,SWE
NDA SE,NDA-SE.ST,SWE
NENT A,NENT-A.ST,SWE
NENT B,NENT-B.ST,SWE
NETEL,NETEL.ST,SWE
NEWA B,NEWA-B.ST,SWE
NIBE B,NIBE-B.ST,SWE
NIVI B,NIVI-B.ST,SWE
NMAN,NMAN.ST,SWE
NOBI,NOBI.ST,SWE
NOLA B,NOLA-B.ST,SWE
NORB B,NORB-B.ST,SWE
NORVA,NORVA.ST,SWE
NOTE,NOTE.ST,SWE
NP3,NP3.ST,SWE
NP3 PREF,NP3-PREF.ST,SWE
NPAPER,NPAPER.ST,SWE
NWG,NWG.ST,SWE
NYF,NYF.ST,SWE
OEM B,OEM-B.ST,SWE
ONCO,ONCO.ST,SWE
ORES,ORES.ST,SWE
ORX,ORX.ST,SWE
OVZON,OVZON.ST,SWE
PACT,PACT.ST,SWE
PEAB B,PEAB-B.ST,SWE
PIERCE,PIERCE.ST,SWE
PLAZ B,PLAX-B.ST,SWE
PNDX B,PNDX-B.ST,SWE
