Company,Ticker,Country
Sparebanken Møre*,MORG.OL,NOR
Sparebanken Sør*,SOR.OL,NOR
Sparebanken Vest*,SVEG.OL,NOR
Sparebanken Øst*,SPOG.OL,NOR
Star Bulk Carriers,SBLK.OL,NOR
Stolt-Nielsen,SNI.OL,NOR
Storebrand,STB.OL,NOR
Storm Real Estate,STORM.OL,NOR
StrongPoint,STRONG.OL,NOR
Subsea 7,SUBC.OL,NOR
Targovax,TRVX.OL,NOR
Team Tankers International,TEAM.OL,NOR
Telenor,TEL.OL,NOR
TGS-NOPEC Geophysical Company,TGS.OL,NOR
Thin Film Electronics ASA,THIN.OL,NOR
Tomra Systems,TOM.OL,NOR
Totens Sparebank*,TOTG.OL,NOR
Treasure ASA,TRE.OL,NOR
Veidekke,VEI.OL,NOR
Vistin Pharma,VISTIN.OL,NOR
Volue,VOLUE.OL,NOR
Voss Veksel- og Landmandsbank,VVL.OL,NOR
Webstep,WSTEP.OL,NOR
Wilh. Wilhelmsen Holding ser. A,WWI.OL,NOR
Wilh. Wilhelmsen Holding ser. B,WWIB.OL,NOR
Wilson,WILS.OL,NOR
XXL,XXL.OL,NOR
Yara International,YAR.OL,NOR
Zalaris,ZAL.OL,NOR
