Ticker;Company
SVOL-A;SVOL A
SVOL-B;SVOL B
SYNSAM;SYNSAM
SYSR;SYSR
TVDOX;TVDOX
TEL2-A;TEL2 A
TEL2-B;TEL2 B
TELIA;TELIA
TETY;TETY
TFBANK;TFBANK
THULE;THULE
TIETOS;TIETOS
TIGO-SDB;TIGO SDB
TOBII;TOBII
TRAC-B;TRAC B
TREL-B;TREL B
TRIAN-B;TRIAN B
TROAX;TROAX
TRUE-B;TRUE B
WALL-B;WALL B
VBG-B;VBG B
WBGR-B;WBGR B
WIHL;WIHL
VIT-B;VIT B
VITR;VITR
VIVE;VIVE
VNE-SDB;VNE SDB
VNV;VNV
VOLCAR-B;VOLCAR B
VOLO;VOLO
VOLO-PREF;VOLO PREF
VOLV-A;VOLV A
VOLV-B;VOLV B
XANO-B;XANO B
XBRANE;XBRANE
XSPRAY;XSPRAY
XVIVO;XVIVO






